,EventName,RoundNumber,eventYear,Team,Compound,Driver,Stint,bestPreRaceTime,bestLapTimeIsFrom,meanAirTemp,meanTrackTemp,meanHumid,Rainfall,GridPosition,Position,raceStintsNums,TyreAge,lapNumberAtBeginingOfStint,StintLen,fuel_slope,fuel_bias,deg_slope,deg_bias,level_4,lag_slope_mean,lag_bias_mean
894,Bahrain Grand Prix,15,2020,Mercedes,MEDIUM,HAM,1.0,87.264,Qualifying,25.4,28.6,65.6,0.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,894,-0.000985714285716349,96.29051666666668
895,Bahrain Grand Prix,15,2020,Mercedes,MEDIUM,HAM,2.0,87.264,Qualifying,25.0,27.194444444444443,71.99444444444445,0.0,1.0,1.0,2.0,5.0,2.0,18.0,,,0.08685714285713914,93.5338571428572,895,0.030393472659698637,94.7098860524111
896,Bahrain Grand Prix,15,2020,Mercedes,MEDIUM,HAM,3.0,87.264,Qualifying,24.775,26.575,72.08125,0.0,1.0,1.0,3.0,3.0,20.0,16.0,,,0.09468484848484786,91.38686666666665,896,,
897,Bahrain Grand Prix,15,2020,Racing Point,HARD,PER,3.0,88.322,Qualifying,24.75,26.5125,72.2,0.0,5.0,18.0,3.0,1.0,21.0,16.0,,,0.04669696969696349,93.31223636363657,897,,
898,Bahrain Grand Prix,15,2020,Racing Point,HARD,PER,4.0,88.322,Qualifying,24.73888888888889,26.38888888888889,72.77222222222223,0.0,5.0,18.0,4.0,1.0,37.0,18.0,,,0.11013636363636102,89.1193181818183,898,,
899,Bahrain Grand Prix,15,2020,Racing Point,MEDIUM,PER,1.0,88.322,Qualifying,25.4,28.6,65.6,0.0,5.0,18.0,1.0,4.0,1.0,1.0,,,,,899,,
900,Bahrain Grand Prix,15,2020,Racing Point,MEDIUM,PER,2.0,88.322,Qualifying,24.99473684210526,27.200000000000003,71.87368421052632,0.0,5.0,18.0,2.0,6.0,2.0,19.0,,,0.08248809523809482,94.4612857142857,900,0.11414736842105344,96.21374736842107
901,Bahrain Grand Prix,15,2020,Racing Point,MEDIUM,STR,1.0,88.679,Qualifying,25.4,28.6,65.2,0.0,13.0,19.0,1.0,4.0,1.0,1.0,,,,,901,,
902,Bahrain Grand Prix,15,2020,Racing Point,MEDIUM,STR,2.0,88.679,Qualifying,25.0,27.3,69.8,0.0,13.0,19.0,2.0,6.0,2.0,2.0,,,,,902,0.10958544891640895,96.81135162538699
903,Bahrain Grand Prix,15,2020,Red Bull Racing,HARD,ALB,4.0,88.274,Qualifying,24.7,26.35217391304348,72.9521739130435,0.0,4.0,3.0,4.0,1.0,35.0,23.0,,,0.06684615384615426,91.3091318681318,903,,
